Site,Site_Number,Date,Latitude,Longitude,CH4_Flux,d13CH4_source,CO2_Flux,d13CO2_source
PRCN,1.1,6/20/2018,44.744714,-110.712883,0.0001738,7.140926763,214.9484803,-5.56614637
PRCN,1.2,6/20/2018,44.744758,-110.712736,-0.000784411,-116.3629657,437.6328071,-19.29324073
PRCN,1.3,6/20/2018,44.744814,-110.712583,-0.002366657,36.94000962,215.3944686,-23.43230281
PRCN,2.1,6/20/2018,44.744978,-110.712708,-0.00125964,31.01043709,347.5068062,-22.94845416
PRCN,2.2,6/20/2018,44.745047,-110.712861,-0.000472218,317.5814586,350.5285321,-19.30134913
PRCN,2.3,6/20/2018,44.745106,-110.713044,0.004188996,-37.64204669,773.1769651,-8.477760504
PRCN,3.1,6/20/2018,44.75055,-110.715494,-0.013581401,38.72912512,7895.15121,-4.695656137
PRCN,3.2,6/20/2018,44.750619,-110.7155,0.001072414,-35.9296697,373.6664852,-10.2705885
MMTH,1.1.1,6/21/2018,44.967236,-110.706703,-0.010818137,-178.1004082,7827.889214,-6.219462974
MMTH,1.1.2,6/21/2018,44.967236,-110.706703,-0.010818137,-159.125024,5795.962019,-5.569730813
MMTH,1.2,6/21/2018,44.967225,-110.706872,-0.026900569,-149.5140657,9726.243216,-7.544194176
MMTH,2.1,6/21/2018,44.972033,-110.706,-0.021817888,-73.38326534,2783.642637,-2.390547803
MMTH,2.2,6/21/2018,44.971967,-110.705739,-0.018515749,-60.3961074,1498.439969,-4.633142663
MMTH,2.3,6/21/2018,44.971647,-110.705356,-0.01878693,-57.83023948,1182.479765,-3.62191532
MMTH,2.4,6/21/2018,44.971358,-110.704853,-0.035165006,-62.76187362,857.8490389,-5.481888812
MMTH,3.1,6/21/2018,44.972664,-110.705425,-0.003050403,13.04334439,23.48118186,-6.647590954
GVNT,1.1,6/22/2018,44.713083,-110.552283,2.803961041,-24.93537454,4448.527014,6.395390612
GVNT,1.2,6/22/2018,44.713069,-110.552458,0.430938085,-9.351200179,3945.38083,7.755344438
GVNT,1.3,6/22/2018,44.713033,-110.552683,0.041920448,16.15413479,5317.037232,-2.364170694
GVNT,1.4,6/22/2018,44.712956,-110.552922,0.050077629,33.73428817,4993.284093,-2.085451907
GVNT,2.1,6/22/2018,44.711553,-110.554028,0.470627799,-6.060024024,8442.394905,-2.085451907
GVNT,2.2,6/22/2018,44.711589,-110.554136,2.172593814,-15.18405207,16387.34676,6.249505178
GVNT,2.3,6/22/2018,44.711617,-110.554283,4.562644522,-18.86783776,8874.940726,2.447039508
GVNT,2.4,6/22/2018,44.7116,-110.5544,0.227572206,26.86068319,4421.612332,-1.83634277
GBSN,1.1,6/23/2018,44.647,-110.8447,-0.002731524,-66.36552618,10.33163887,-25.29414624
GBSN,1.2,6/23/2018,44.6472,-110.8449,-0.001479374,-49.91276526,22.095747,-22.00544139
GBSN,1.3,6/23/2018,44.6474,-110.8452,-0.00144962,-89.44490245,86.43516461,-26.04268531
GBSN,1.4,6/23/2018,44.9478,-110.8456,-0.002803945,-33.02959135,43.82213193,-14.6146228
GBSN,1.5,6/23/2018,44.6483,-110.8461,-0.002972369,-50.00473986,29.11546367,-9.132440578
GBSN,1.6,6/23/2018,44.6487,-110.8466,-0.000516376,-112.3155234,25.71763377,-15.31450923
EETR,1.1.1,6/24/2018,44.500461,-110.220197,13.78821676,-43.09031498,-41.80881967,-0.248153294
EETR,1.1.2,6/24/2018,44.500461,-110.220197,14.04614877,-43.40174323,-42.2757455,-0.17783451
EETR,1.2.1,6/24/2018,44.500522,-110.220133,0.578471923,-49.64409002,-47.67635198,1.220522181
EETR,1.2.2,6/24/2018,44.500522,-110.220133,0.61091392,-50.11509205,-48.01257732,1.357947866
EETR,1.3.1,6/24/2018,44.500531,-110.220011,1.532038207,-24.73327426,-24.0227912,1.11903243
EETR,1.3.2,6/24/2018,44.500531,-110.220011,0.627810894,-29.752624,-28.61496884,1.217791219
EETR,1.4.1,6/24/2018,44.500481,-110.219922,-0.017502857,-25.33683629,19.45540444,1.301821662
EETR,1.4.2,6/24/2018,44.500481,-110.219922,0.00277556,12.12116615,107.2055106,1.301076989
EETR,1.5.1,6/24/2018,44.500419,-110.219897,0.788407321,-38.81446026,-38.16036761,1.38375933
MDVC,1.1,6/25/2018,44.620294,-110.435284,0.307299623,-15.99655865,6345.384845,-11.99866257
MDVC,1.2,6/25/2018,44.620799,-110.4356,-0.008962098,-74.50031628,1648.519582,-2.390525822
MDVC,1.3,6/25/2018,44.621116,-110.434622,0.546020729,-15.21021176,7869.147984,-3.259232619
MDVC,1.4,6/25/2018,44.621289,-110.434232,-0.022769253,-20.7771531,2837.196055,-0.26603933
MDVC,1.5,6/25/2018,44.621805,-110.433846,-0.007732639,-23.93556775,6836.366055,-1.063314978
MDVC,1.6,6/25/2018,44.624022,-110.433017,0.005312085,-65.97474913,2511.561607,2.762974119
NEER,1.1,6/26/2018,44.907794,-110.348,-0.014121766,-70.50266205,680.2599853,-27.48956053
NEER,1.2,6/26/2018,44.907699,-110.3482,-0.008607947,-1.85629144,203.7360452,-18.45035665
NEER,1.3,6/26/2018,44.907598,-110.3485,-0.007238683,-58.8175143,151.4562095,-12.94497983
NEER,1.4,6/26/2018,44.907597,-110.348698,-0.033272644,-50.94280552,390.9321069,-27.03336739
NEER,2.1,6/26/2018,44.906999,-110.3487,-0.008868457,-54.02901571,1098.402798,-25.41089088
NEER,2.2,6/26/2018,44.907297,-110.348501,-0.001500524,-128.5692208,-2.052828496,-1.929180173
NEER,2.3,6/26/2018,44.907598,-110.3482,-0.019245633,-88.46130737,714.7519983,-24.43119353
NEER,2.4,6/26/2018,44.907799,-110.3481,0.022254028,-70.70024568,1140.360703,-26.93136761
CLPD,1.1,6/27/2019,44.511,-110.8062,-0.00580682,-61.52912447,204.1315762,-5.38832743
CLPD,1.2,6/27/2019,44.5508,-110.8063,-0.012512254,-74.1355389,72.87994245,0.318795039
CLPD,1.3,6/27/2019,44.5505,-110.8063,-0.012422425,-54.29137651,23.3286414,-13.57539666
CLPD,1.4.1,6/27/2019,44.5589,-110.8086,-0.013877631,-53.78799577,54.65306448,-5.075465128
CLPD,1.4.2,6/27/2019,44.5589,-110.8086,-0.01171544,-33.23366524,135.6903642,-5.953393643
GVNT,3.1,6/28/2018,44.7131,-110.5523,0.221820861,15.69175981,6400.929887,-3.384396755
GVNT,3.2,6/28/2018,44.7131,-110.5524,1.991877745,-18.27421375,8353.989976,-4.753787305
GVNT,3.3,6/28/2018,44.713,-110.5527,0.502645148,-14.46653188,1493.178108,7.395422751
GVNT,3.4,6/28/2018,44.7129,-110.5531,-0.011562786,-17.91935544,628.2999961,-8.346765987
GVNT,2.1.2,6/28/2018,44.7114,-110.5541,3.993149889,-25.97004152,7243.228684,-4.190250605
GVNT,2.2.2,6/28/2018,44.7115,-110.5542,3.402504377,-7.889852609,17618.83434,-1.629658764
GVNT,2.3.2,6/28/2018,44.7116,-110.5543,5.95826401,-22.75060549,8316.077554,6.273600148
GVNT,2.4.2,6/28/2018,,,4.522191945,-24.31593297,7077.863651,-0.565527927
GF,1.1,6/29/2018,44.5542,-110.7864,-0.015849159,-60.39537175,117.6847488,-21.4250034
GF,1.2,6/29/2018,44.5443,-110.7877,-0.002054676,-99.01036485,87.78610572,-22.8540303
GF,1.3,6/29/2018,44.5439,-110.7846,0.004947214,-36.33261634,42.08803836,-23.18376027
WTHB,1.1,7/1/2019,44.4182,-110.5716,-0.005558818,-48.14812894,107.3986074,-23.73460048
WTHB,1.2,7/1/2019,44.4182,-110.5721,-0.003424523,-121.4914311,107.3986074,-16.58734251
WTHB,1.3,7/1/2019,44.4183,-110.5716,-0.003153948,5.958866045,107.3986074,-2.75944512
WTHB,1.4,7/1/2019,44.4164,-110.5698,-0.004575263,-63.286034,107.3986074,-11.13581147
WTHB,1.5,7/1/2019,44.4159,-110.5702,-0.005432922,-8.567178173,107.3986074,-17.70927998
GRND,1.1,7/2/2018,44.4644,-110.8375,-0.005509121,1.658774773,34.86827542,-9.784527326
GRND,1.2,7/2/2018,44.4657,-110.8369,-0.00854244,-2.927146611,14.19080342,3.802132975
GRND,1.3,7/2/2018,44.4653,-110.837,-0.000789652,20.25496222,9.038572399,-8.2324008
CSTL,1.1,7/2/2018,44.4641,-110.8361,-0.005013047,-2.592532916,5.303621675,4.329893112
CSTL,1.2,7/2/2018,44.464,-110.8366,-0.004706261,-86.03643009,3.653895089,58.53733537
MMTH,3.1,7/3/2018,44.9727,-110.7054,-0.002111338,-73.21011956,93.27160949,-7.967012473
MMTH,3.2,7/3/2018,44.9726,-110.705,-0.006765764,-21.73255772,43.76149016,-1.123556582
WTHB,2.1,7/3/2018,44.4166,-110.5717,1.100764508,-21.78694232,349.3051032,-3.460946713
WTHB,2.2,7/3/2018,44.4167,-110.5722,-0.006694718,-63.41654896,24.36888549,-5.557697771
WTHB,3.1,7/3/2018,44.4173,-110.5731,-0.008357155,-49.09273084,336.4265616,-10.53776767
YSLK,1.1,7/4/2018,44.5206,-110.2774,0.110204077,-39.82175149,-12.49492722,-12.49492722
YSLK,1.2,7/4/2018,44.5207,-110.277,0.092522529,-32.27731167,-6.098810751,-6.098810751
YSLK,2.1,7/4/2018,44.5212,-110.278,0.137985498,-27.35686751,-4.550679839,-4.550679839
YSLK,2.2,7/4/2018,44.5512,-110.2783,-0.008216625,-9.033256674,-13.71154533,-13.71154533
YSLK,2.3,7/4/2018,44.5212,-110.2784,-0.011366857,-88.99456392,-3.351863021,-3.351863021
YSLK,2.4,7/4/2018,44.5211,-110.2786,1.579850944,-32.40166888,-1.555277312,-1.555277312
